Feature ID	Epic	Feature Name	Category	Architecture Layer	Type	Problem	Solution	Implementation Notes	Requirements	Original Priority	Final Priority	Build Wave	Cycle	Complexity	Implementation Repo	Research Linkage	Validation Metric	Dependencies	Critical Path	Status	Owner	Frontend Impl.	Source URL	Agent Notes
F-015	User Management & Authentication (RBAC)	Password Reset	Auth	Platform/Security	Backend + Integration	Users forget passwords.	“Forgot password” flow with reset token.	Similar to verification: email with reset link.	Email service.	P0	P0	Wave 0 - Foundations	Cycle 2+	Low	syllabai-core		feature acceptance criteria		No	Not Started	Unassigned	Yes		
F-016	User Management & Authentication (RBAC)	Multi-Factor Authentication (MFA)	Auth	Platform/Security	Backend + Integration	Enhance security for teacher/admin accounts.	Option to enable TOTP (Google Authenticator) or SMS.	Use pyotp or Authy API.	MFA library.	P2	P2	Wave 5 - Advanced Intelligence	Cycle 2+	Medium	syllabai-core		feature acceptance criteria		No	Not Started	Unassigned	Yes		
F-017	User Management & Authentication (RBAC)	Account Deletion & GDPR Compliance	Compliance	Platform/Security	Backend + Integration	Users can request data removal; legal requirement.	Provide “Delete my account” + confirm; also data export.	Soft delete (anonymize) or hard delete after grace period.	GDPR policy.	P0	P0	Wave 0 - Foundations	Cycle 2+	Medium	syllabai-core		feature acceptance criteria		No	Not Started	Unassigned	Yes		
F-018	User Management & Authentication (RBAC)	Session Management	Auth	Platform/Security	Backend + Integration	Users can see active sessions and log out remotely.	Store session tokens in DB; endpoint to revoke.	JWT with blacklist or server-side sessions.	Redis for token blacklist.	P2	P2	Wave 5 - Advanced Intelligence	Cycle 2+	Medium	syllabai-core		feature acceptance criteria		No	Not Started	Unassigned	Yes		
F-019	User Management & Authentication (RBAC)	User Profile Page	UI	Experience	Frontend	Users view/edit their info, change password, set preferences.	Profile form: name, school, subjects, target grades.	Basic CRUD API; frontend form.	N/A	P1	P1	Wave 0 - Foundations	Cycle 2+	Low	syllabai-web		automated UI tests + accessibility checks		No	Not Started	Unassigned	Yes		
F-020	Content Management	Syllabus Parser	Content	Content	Backend + Integration	Need structured knowledge graph from Edexcel/Cambridge syllabus PDFs.	Parse topics, sub-topics, learning objectives into canonical document format, then into KG tables.	syllabai-parser pipeline: opendataloader-pdf (Java, in-process in syllabai-core) for text PDFs; MinerU/Surya offline (Python) for scans; LLM-assisted structuring behind DocumentParser contract.	Syllabus PDFs.	P0	P0	Wave 1 - Knowledge & Content	Cycle 1	Medium	syllabai-parser	Repository research: document intelligence	feature acceptance criteria	F-134; F-147	Yes	Not Started	Unassigned	No		PATCHED v2: was PyPDF2+Neo4j nodes; now polyglot parser contract per ADR-011.
F-021	Content Management	Past Paper Repository	Content	Content	Backend + Integration	Students need easy access to past papers + mark schemes.	Upload PDFs; filter by board, subject, year, variant.	Cloud storage (S3) + metadata in PostgreSQL.	Past paper PDFs.	P0	P0	Wave 1 - Knowledge & Content	Cycle 1	Low	syllabai-core		feature acceptance criteria	F-149	No	In Progress	Unassigned	Yes		T-C02 bridge merged @ 7c6f122 + T-C03 controlled batch MERGED 2026-09-06 (core main 1976540, parser main ba36ceb; post-merge CI 34015454011: 196/196 unit + 22/22 IT; parser 34015403577: 71/71 + conformance): the 3 real WPH11 pairs persist as canonical documents + T-011 paper/question/mark-scheme rows via the bounded GlmOcrBatchService (firehose guard, ONE transaction — whole-batch atomic, proven by a late-failure rollback IT; all SUGGESTED; rerun zero-new-rows; batch audit artifact for human review). Next gate: T-C04 human content validation before any wider batch. Remaining: learner-facing paper browsing/filtering UI. SESSION-13 SEQUENCING: T-C04 human validation DEFERRED (ready to resume, not blocked/abandoned — resume prerequisites in TODO.md T-C04) so product UI can proceed (T-025 -> T-028 -> T-029). The 3-pair controlled corpus remains the ONLY GLM-OCR production test corpus; no batch expansion and no learner serving of unvalidated GLM-OCR content until T-C04 passes.
F-022	Content Management	PDF Viewer with Mark Scheme Toggle	Content	Content	Backend + Integration	View question paper and mark scheme side-by-side.	Embed PDF.js with a button to switch/highlight mark scheme.	React PDF viewer component; pre-process mark scheme PDFs.	PDF.js.	P0	P0	Wave 1 - Knowledge & Content	Cycle 1	Medium	syllabai-web	Repository research: document intelligence	feature acceptance criteria		No	Not Started	Unassigned	Yes		NOT started (deliberate, unchanged by the T-025 merge): citation cards render verbatim source labels + pages in the chat (now on main); the in-app PDF viewer / mark-scheme toggle remains this row's own scope, revisited after the product-UI sequence (T-025 merged -> T-028 active -> T-029). T-C04 is deferred/resumable; imported GLM-OCR content stays SUGGESTED and non-servable, so no unvalidated paper PDFs surface to learners.
F-023	Content Management	Revision Notes (Static)	Content	Content	Backend + Integration	Provide syllabus-aligned notes.	Upload HTML/Markdown notes; display with LaTeX support (KaTeX).	CMS-like interface; store notes in DB with topic tags.	Notes content.	P1	P1	Wave 1 - Knowledge & Content	Cycle 2+	Low	syllabai-core		feature acceptance criteria		No	Not Started	Unassigned	Yes		
F-024	Content Management	Interactive Notes (Simulations)	Content	Content	Backend + Integration	Help students grasp abstract concepts via manipulation.	Embed D3/Three.js simulations (circuit builder, graph transformer, etc.).	Custom React components with parameter props; tag to KG nodes.	Developer time.	P2	P2	Wave 1 - Knowledge & Content	Cycle 2+	High	syllabai-core		feature acceptance criteria		No	Not Started	Unassigned	Yes		
F-025	Content Management	Video Library (YouTube Integration)	Content	Content	Backend + Integration	Provide distraction-free, syllabus-aligned video content.	Use YouTube Data API; allow search/filter by approved channels.	Backend proxy to YouTube API; store video metadata; restrict channels.	YouTube API key; curated channel list.	P2	P1	Wave 1 - Knowledge & Content	Cycle 2+	Medium	syllabai-core		feature acceptance criteria		No	Not Started	Unassigned	Yes		ADR-017 (2026-09-07): Redesign as education-scoped video discovery — approved/validated subject-scoped sources, videos mapped to SpecificationPoints, served through the learning-first recommender; YouTube is a source, not the optimization objective (canonical: RECOMMENDATION_SYSTEM_ARCHITECTURE.md).
F-026	Content Management	Video Watch Tracking	Content	Content	Backend + Integration	Know what students watch; feed into KG.	Log start, progress, completion; update proficiency for related topics.	Event logging via API; batch updates to KG.	Video metadata tagged with KG nodes.	P2	P1	Wave 1 - Knowledge & Content	Cycle 2+	Medium	syllabai-core		feature acceptance criteria		No	Not Started	Unassigned	Yes		ADR-017 (2026-09-07): Redesign as learning evidence/telemetry — record impression/start/progress/completion/repeat/exit with downstream learning linkage; watch time is a signal, never mastery.
F-027	Content Management	Flashcards (Digital)	Content	Content	Backend + Integration	Aid active recall and spaced repetition.	Generate from notes; user can flip, mark “know” / “still learning”.	Simple component; store progress in DB.	Content extraction.	P1	P1	Wave 1 - Knowledge & Content	Cycle 2+	Low	syllabai-core	Learning strategy / product layer	feature acceptance criteria		No	Not Started	Unassigned	Yes		
F-028	Content Management	Question Bank (Tagged)	Content	Content	Backend + Integration	Need searchable, tagged questions for test generation.	Store each question with metadata (topic, difficulty, marks, type).	PostgreSQL table questions with JSON fields for tags.	Past paper parsing.	P0	P0	Wave 1 - Knowledge & Content	Cycle 1	Medium	syllabai-core		tagging accuracy + generation coverage	F-152	No	Not Started	Unassigned	No		Repo remapped v2 (4-repo plan, ADR-012).
F-029	Content Management	Mark Scheme Storage	Content	Content	Backend + Integration	Provide instant access to mark schemes for self-assessment.	Store mark scheme text (with LaTeX) linked to question.	Same database row or separate table.	Parsed mark schemes.	P0	P0	Wave 1 - Knowledge & Content	Cycle 1	Low	syllabai-core		feature acceptance criteria		No	In Progress	Unassigned	Partial (UI button)		T-C02 bridge merged @ 7c6f122; T-C03 batch MERGED 2026-09-06: 59 mark schemes + 173 mark points landed across the 3 real pairs in one controlled batch (whole-entry mark points for cells without (N) markers; verbatim MS JSONB in V13 glm_ocr_bridge_records; review findings per pair 25/27/32 — October Q18 + 1A 80-vs-120 conflicts preserved, never merged). Batch evidence: +59 versions/+59 schemes/+173 points, all SUGGESTED. Next gate: T-C04 human content validation. Remaining: LaTeX mark-scheme rendering + validation workflow over imported schemes. SESSION-13 SEQUENCING: T-C04 human validation DEFERRED (ready to resume, not blocked/abandoned — resume prerequisites in TODO.md T-C04) so product UI can proceed (T-025 -> T-028 -> T-029). The 3-pair controlled corpus remains the ONLY GLM-OCR production test corpus; no batch expansion and no learner serving of unvalidated GLM-OCR content until T-C04 passes. | ADR-016 (2026-09-07): Cross-surface integration — provenance-preserving mark scheme/model answer exposed from every question surface (inline or collapsible panel, assessment context kept).
F-030	Content Management	Bulk Upload of Content (Teacher/Admin)	Content	Content	Backend + Integration	Teachers want to add their own notes, questions.	CSV/Excel upload of questions; drag-and-drop for PDFs.	Backend parser; validation; frontend upload component.	Admin/teacher role.	P1	P1	Wave 1 - Knowledge & Content	Cycle 2+	Medium	syllabai-parser		feature acceptance criteria		No	In Progress	Unassigned	Yes		T-C02 bridge merged @ 7c6f122; T-C03 batch ops MERGED 2026-09-06: batch ingestion entry = ops CLI --syllabai.glmocr.batch-dir (bounded, default max 10 pairs, refused beyond; ONE transaction; deterministic reruns; batch-audit-report.json written for human review, non-zero exit on invariant failure) alongside the single-pair teacher endpoint; parser side gains the committed GlmOcrPairCli production command (markdown -> five-file bundle). Regression-proven: whole-batch rollback + not-learner-servable through the real QuestionController. Next gate: T-C04 human content validation, then a batch-size decision. Remaining: CSV/Excel teacher upload UI (Cycle 2+ scope of this row). SESSION-13 SEQUENCING: T-C04 human validation DEFERRED (ready to resume, not blocked/abandoned — resume prerequisites in TODO.md T-C04) so product UI can proceed (T-025 -> T-028 -> T-029). The 3-pair controlled corpus remains the ONLY GLM-OCR production test corpus; no batch expansion and no learner serving of unvalidated GLM-OCR content until T-C04 passes.
F-031	Content Management	Content Versioning (Syllabus Updates)	Content	Content	Backend + Integration	Syllabus changes every few years; need to archive old.	Store valid_from and valid_to dates on topics and questions.	Database fields; UI filters to show “2025 syllabus” vs “2028 syllabus”.	Syllabus change tracking.	P2	P2	Wave 1 - Knowledge & Content	Cycle 2+	Medium	syllabai-parser		feature acceptance criteria		No	Not Started	Unassigned	Yes		
F-032	Knowledge Graph	Syllabus Knowledge Graph (PostgreSQL graph tables)	KG	Knowledge	Backend + Integration	Represent curriculum as traversable graph with prerequisites and misconceptions.	Relational graph tables (knowledge_nodes, knowledge_edges) + recursive CTE traversals behind KnowledgeGraphRepository (ADR-005). Edge types per Master Spec section 7.	Neo4j/HelixDB remain optional future providers behind the same interface. Prerequisite edges must distinguish algorithmic vs SME-validated.	Postgres; Flyway migrations.	P0	P0	Wave 1 - Knowledge & Content	Cycle 1	High	syllabai-core	Paper B §3.2; curriculum graph	feature acceptance criteria	F-135; F-158	Yes	Not Started	Unassigned	No		PATCHED v2: was 'Neo4j' - Postgres graph is ADR-005 default; Neo4j-portable schema kept. | Repo remapped v2 (4-repo plan, ADR-012).
F-033	Knowledge Graph	Student Proficiency Overlay	KG	Knowledge	Backend + Integration	Track each student's mastery per node.	skill_states rows per (learner, node): BKT mastery probability, confidence, last_seen, next_review. Updates only via AssessmentEvidence contract (F-153).	No direct UI writes to learner state. Includes misconception states (BDT) and exam-literacy/fluency states per F-137.	BKT engine (F-138).	P0	P0	Wave 1 - Knowledge & Content	Cycle 1	Medium	syllabai-core	Paper B §3.3; BKT/forgetting	Brier/RMSE/forecast calibration	F-138; F-137	Yes	Not Started	Unassigned	No		PATCHED v2: was (Student)-[:MASTERS]->(Topic) Cypher property model. | Repo remapped v2 (4-repo plan, ADR-012). | ADR-016 (2026-09-07): Core learner-model integration — attempts map QuestionPart to SpecificationPoint(s) into learner-model inference and the KG overlay; flags/confidence may influence inference but never mutate official curriculum nodes.
F-034	Knowledge Graph	Individual Student KG Query API	KG	Knowledge	Backend + Integration	Retrieve student's personalized graph for the mastery map UI.	GET /api/v1/learners/me/knowledge-graph - recursive CTE + proficiency join; JSON DTO for frontend.	Same endpoint shape regardless of Postgres vs Neo4j backing store (repository abstraction F-135).	Spring REST; JPA/JDBC.	P0	P0	Wave 1 - Knowledge & Content	Cycle 1	Medium	syllabai-core		feature acceptance criteria	F-135	No	In Progress	Unassigned	Yes		T-028 MERGED 2026-09-07 (session 15, user-authorized 'OKAY PROCEED'): core PR #6 merged FIRST as a fast-forward push (main 1976540 -> ab7a52b, PR closed/merged, merge_commit_sha ab7a52b; post-merge push CI run 34053354490 on main - BUILD SUCCESS, step-level verified). Pre-merge: PR CI 34050895468 success (204/204 unit + 22/22 IT, log-inspected). GET /api/v1/learners/me/knowledge-graph?rootId=... composes the VERIFIED read services (tree + misconceptions, BKT skill states with real decay, BDT states, earliest pending review); batched prerequisiteRelations; DecayParams.bandOf shared vocabulary so /state and /knowledge-graph can never disagree. Honesty rules test-pinned: unpractised nodes carry nulls (never zeros), misconception annotations only on MISCONCEPTION nodes, asOf pins the decay instant. Browser verification of the endpoint through the live UI at pilot time remains open (tracked, not blocking) - status stays In Progress.
F-035	Knowledge Graph	Class KG Aggregation (Teacher)	KG	Knowledge	Backend + Integration	Teacher sees overview of class strengths/weaknesses.	Aggregate proficiency scores across all students in a class.	Database aggregation query (e.g., average per node).	Class-student mapping.	P1	P1	Wave 1 - Knowledge & Content	Cycle 2+	Medium	syllabai-core		feature acceptance criteria		No	Not Started	Unassigned	Yes		Repo remapped v2 (4-repo plan, ADR-012).
F-036	Knowledge Graph	Knowledge Graph Visualizer (3D Force-Directed Graph)	UI	Experience	Frontend	Students explore topics interactively.	Use Three.js / D3.js to render nodes, color by proficiency.	React component with WebGL; handle node clicks.	KG data API.	P1	P1	Wave 0 - Foundations	Cycle 1	High	syllabai-web		automated UI tests + accessibility checks		No	In Progress	Unassigned	Yes		T-028 MERGED 2026-09-07 (session 15, user-authorized 'OKAY PROCEED'): web PR #2 merged SECOND (after core PR #6, the runtime dependency) as a fast-forward push (main 3402230 -> 18543d2, PR closed/merged, merge_commit_sha 18543d2; post-merge push CI run 34053451121 on main - Lint + type-checked production build SUCCESS, step-level verified). 2D-first SVG KG visualizer over the F-034 personalized payload: layered columns by KG depth, band-colored nodes, solid PART_OF + dashed prerequisite edges with arrowheads, legend, keyboard-selectable nodes with aria-labels; tree view stays the accessible alternative; Tree/Graph toggle + node detail card with on-demand prerequisite chains + Practise CTAs. Remaining open (why status stays In Progress): pilot-time browser verification of the graph flows; pan/zoom and 3D force-graph are explicitly out of Cycle-1 scope (2D-first by scope definition).
F-037	Knowledge Graph	Prerequisite Remediation Suggestions	KG	Knowledge	Backend + Integration	When student struggles, recommend foundational topics.	Traverse prerequisites edges; check student proficiency; offer review.	Graph traversal + recommendation logic.	KG with REQUIRES edges.	P1	P1	Wave 1 - Knowledge & Content	Cycle 1	Medium	syllabai-core	Paper A Type 1; Paper B prerequisite graph	feature acceptance criteria	F-135; F-137; F-140	No	Not Started	Unassigned	Yes		Repo remapped v2 (4-repo plan, ADR-012).
F-038	Knowledge Graph	Topic Search within KG	UI	Experience	Frontend	Find specific node by name.	Search bar; auto-suggest nodes; click to focus graph.	Frontend filtering of graph data; backend search API.	N/A	P1	P1	Wave 0 - Foundations	Cycle 2+	Low	syllabai-web		automated UI tests + accessibility checks		No	Not Started	Unassigned	Yes		
F-039	RAG AI Chatbot	Vector Store (pgvector on Neon)	AI	AI/Tutor	Backend + Integration	Store embeddings of past papers, mark schemes, notes for retrieval.	pgvector extension on Neon: embeddings table + HNSW index, metadata-filtered ANN next to transactional data.	Gemini embedding API (free tier) as primary EmbeddingProvider. Pinecone/Weaviate remain swappable behind VectorStore (F-136) if scale demands.	Neon pgvector; embedding provider.	P0	P0	Wave 3 - Tutor & Diagnostics	Cycle 1	Medium	syllabai-core		feature acceptance criteria	F-136	No	Not Started	Unassigned	No		PATCHED v2: was Pinecone/Weaviate default - ADR-004 keeps vectors in Postgres. | Repo remapped v2 (4-repo plan, ADR-012).
F-040	RAG AI Chatbot	KA-RAG Query Pipeline	AI	AI/Tutor	Backend + Integration	Answer student questions grounded in KG context + authoritative sources, not vector-only RAG.	Intent/entity extraction -> KG query (prereqs, misconceptions, learner state) -> vector+lexical retrieval -> evidence fusion -> grounded generation with verbatim citations (Master Spec section 13).	Tutor agent Cycle-1 scope per Paper B; CoT reasoning; refusal when grounding insufficient. Provider chain F-163.	LlmProvider (F-148); VectorStore (F-039); KG repo (F-135).	P0	P0	Wave 3 - Tutor & Diagnostics	Cycle 1	High	syllabai-core	Paper B §3.4; KA-RAG	retrieval recall + citation precision/groundedness	F-136; F-135; F-142; F-148	Yes	Not Started	Unassigned	No		PATCHED v2: was generic chunk-retrieve-prompt; now Paper B KA-RAG spec. | Repo remapped v2 (4-repo plan, ADR-012).
F-041	RAG AI Chatbot	Chat Interface (Web)	AI	AI/Tutor	Backend + Integration	Students interact with tutor.	Chat window with message history, citations, source links.	React component; streaming responses (Server-Sent Events).	Backend chat API.	P0	P0	Wave 3 - Tutor & Diagnostics	Cycle 1	Medium	syllabai-web		feature acceptance criteria		Yes	In Progress	Unassigned	Yes		T-025 MERGED 2026-09-07 (web PR #1, fast-forward 1685f4c -> 3402230 on explicit user instruction; post-merge CI run 34049500636 SUCCESS - lint + type-checked production build, step-level verified). Chat UI consumes the merged T-024 surface POST /api/v1/tutor/ask (synchronous v0 - no SSE backend exists; loading/error/refusal states). Transcript survives tab switches (server-side sessions arrive with Spec 22 tutor/sessions endpoints). Diagnosis-aware policy (T-026/T-027) stays on unmerged core PR #1; integrates only if/when that PR merges. Remaining open (why status stays In Progress): browser verification of the chat flow against the live backend at pilot time; SSE/streaming when the backend ships it.
F-042	RAG AI Chatbot	Conversation Memory	AI	AI/Tutor	Backend + Integration	Maintain context across multiple turns.	Store chat history in DB; inject recent messages into LLM context.	Simple ring buffer per session.	DB table for chat logs.	P1	P1	Wave 3 - Tutor & Diagnostics	Cycle 2+	Low	syllabai-core		feature acceptance criteria		No	Not Started	Unassigned	No		Repo remapped v2 (4-repo plan, ADR-012).
F-043	RAG AI Chatbot	Citation Display	AI	AI/Tutor	Backend + Integration	Show source (past paper, mark scheme) for each claim.	Return source IDs with answer; frontend shows link to PDF.	Retrieve source metadata from vector DB.	RAG pipeline.	P0	P0	Wave 3 - Tutor & Diagnostics	Cycle 1	Low	syllabai-web		retrieval recall + citation precision/groundedness	F-142	Yes	In Progress	Unassigned	Yes		T-025 MERGED 2026-09-07 (web PR #1, post-merge CI green): citation display shipped as the core of the chat UI - [n] markers in the answer render as reference chips that jump to the matching citation card; cards show verbatim source labels (e.g. 'Mark scheme - p6') + source type. Role-aware deep links (documented v0 decision): teachers get 'Open source' anchors into the content/KG API; learners see reference cards (in-app PDF deep-links are F-022's surface). Traceability footer on every answer: model / provider / latency / evidence count (Spec 19). Validation metrics (retrieval recall + citation precision/groundedness) remain unmeasured - measured at pilot/research time, status stays In Progress.
F-044	RAG AI Chatbot	Follow-up Question Suggestions	AI	AI/Tutor	Backend + Integration	Help students continue learning.	Generate 3 recommended questions based on current conversation.	LLM prompt or rule-based from KG.	LLM call.	P2	P2	Wave 3 - Tutor & Diagnostics	Cycle 2+	Medium	syllabai-core		feature acceptance criteria		No	Not Started	Unassigned	Yes		Repo remapped v2 (4-repo plan, ADR-012).
F-045	RAG AI Chatbot	Multi-modal Input (Image Upload)	AI	AI/Tutor	Backend + Integration	Students can upload photos of handwritten work or diagrams.	Use vision LLM (GPT-4V, Claude 3) to process image.	Extend API to accept multipart form; vision model integration.	Vision-capable LLM.	P2	P2	Wave 3 - Tutor & Diagnostics	Cycle 2+	High	syllabai-core		feature acceptance criteria		No	Not Started	Unassigned	Yes		Repo remapped v2 (4-repo plan, ADR-012).
F-046	RAG AI Chatbot	Voice Input (Speech-to-Text)	AI	AI/Tutor	Backend + Integration	Accessibility; faster input.	Use browser Web Speech API or backend STT (Whisper).	Frontend: SpeechRecognition; backend fallback.	Browser support.	P3	P3	Wave 3 - Tutor & Diagnostics	-	Medium	syllabai-core		feature acceptance criteria		No	Not Started	Unassigned	Yes		Repo remapped v2 (4-repo plan, ADR-012).
