Column 1	Feature Name	Category	Problem	Solution	Implementation	Requirements	Priority	Complexity	Frontend Impl.
User Management & Authentication (RBAC)	Account Deletion & GDPR Compliance	Compliance	Users can request data removal; legal requirement.	Provide “Delete my account” + confirm; also data export.	Soft delete (anonymize) or hard delete after grace period.	GDPR policy.	P0	Medium	Yes
User Management & Authentication (RBAC)	Session Management	Auth	Users can see active sessions and log out remotely.	Store session tokens in DB; endpoint to revoke.	JWT with blacklist or server-side sessions.	Redis for token blacklist.	P2	Medium	Yes
User Management & Authentication (RBAC)	User Profile Page	UI	Users view/edit their info, change password, set preferences.	Profile form: name, school, subjects, target grades.	Basic CRUD API; frontend form.	N/A	P1	Low	Yes
Content Management	Syllabus Parser	Content	Need structured knowledge graph from Edexcel/Cambridge PDFs.	Extract topics, sub-topics, learning objectives into DB.	Python: PyPDF2, regex; store as nodes in Neo4j.	Syllabus PDFs.	P0	Medium	No
Content Management	Past Paper Repository	Content	Students need easy access to past papers + mark schemes.	Upload PDFs; filter by board, subject, year, variant.	Cloud storage (S3) + metadata in PostgreSQL.	Past paper PDFs.	P0	Low	Yes
Content Management	PDF Viewer with Mark Scheme Toggle	Content	View question paper and mark scheme side-by-side.	Embed PDF.js with a button to switch/highlight mark scheme.	React PDF viewer component; pre-process mark scheme PDFs.	PDF.js.	P0	Medium	Yes
Content Management	Revision Notes (Static)	Content	Provide syllabus-aligned notes.	Upload HTML/Markdown notes; display with LaTeX support (KaTeX).	CMS-like interface; store notes in DB with topic tags.	Notes content.	P1	Low	Yes
Content Management	Interactive Notes (Simulations)	Content	Help students grasp abstract concepts via manipulation.	Embed D3/Three.js simulations (circuit builder, graph transformer, etc.).	Custom React components with parameter props; tag to KG nodes.	Developer time.	P2	High	Yes
Content Management	Video Library (YouTube Integration)	Content	Provide distraction-free, syllabus-aligned video content.	Use YouTube Data API; allow search/filter by approved channels.	Backend proxy to YouTube API; store video metadata; restrict channels.	YouTube API key; curated channel list.	P2	Medium	Yes
Content Management	Video Watch Tracking	Content	Know what students watch; feed into KG.	Log start, progress, completion; update proficiency for related topics.	Event logging via API; batch updates to KG.	Video metadata tagged with KG nodes.	P2	Medium	Yes
Content Management	Flashcards (Digital)	Content	Aid active recall and spaced repetition.	Generate from notes; user can flip, mark “know” / “still learning”.	Simple component; store progress in DB.	Content extraction.	P1	Low	Yes
Content Management	Question Bank (Tagged)	Content	Need searchable, tagged questions for test generation.	Store each question with metadata (topic, difficulty, marks, type).	PostgreSQL table questions with JSON fields for tags.	Past paper parsing.	P0	Medium	No
Content Management	Mark Scheme Storage	Content	Provide instant access to mark schemes for self-assessment.	Store mark scheme text (with LaTeX) linked to question.	Same database row or separate table.	Parsed mark schemes.	P0	Low	Partial (UI button)
Content Management	Bulk Upload of Content (Teacher/Admin)	Content	Teachers want to add their own notes, questions.	CSV/Excel upload of questions; drag-and-drop for PDFs.	Backend parser; validation; frontend upload component.	Admin/teacher role.	P1	Medium	Yes
Content Management	Content Versioning (Syllabus Updates)	Content	Syllabus changes every few years; need to archive old.	Store valid_from and valid_to dates on topics and questions.	Database fields; UI filters to show “2025 syllabus” vs “2028 syllabus”.	Syllabus change tracking.	P2	Medium	Yes
Knowledge Graph	Syllabus Knowledge Graph (Neo4j)	KG	Represent relationships (prerequisites, part-of, related).	Nodes: Topic, Subtopic; Edges: REQUIRES, PART_OF, RELATED.	Ingest parsed syllabus into Neo4j using Cypher queries.	Neo4j database; syllabus parser.	P0	High	No
Knowledge Graph	Student Proficiency Overlay	KG	Track each student’s mastery of each node.	Store proficiency scores as properties on (Student)-[:MASTERS]->(Topic).	Update via attempt logging; store in Neo4j or PostgreSQL with link to Neo4j.	Student graph ID.	P0	Medium	No
Knowledge Graph	Individual Student KG Query API	KG	Retrieve student’s personalized graph for UI.	API endpoint: /api/kg/{student_id} returns nodes with colors.	Cypher query; return JSON for frontend visualization.	Neo4j driver.	P0	Medium	Yes
Knowledge Graph	Class KG Aggregation (Teacher)	KG	Teacher sees overview of class strengths/weaknesses.	Aggregate proficiency scores across all students in a class.	Database aggregation query (e.g., average per node).	Class-student mapping.	P1	Medium	Yes
Knowledge Graph	Knowledge Graph Visualizer (3D Force-Directed Graph)	UI	Students explore topics interactively.	Use Three.js / D3.js to render nodes, color by proficiency.	React component with WebGL; handle node clicks.	KG data API.	P1	High	Yes
Knowledge Graph	Prerequisite Remediation Suggestions	KG	When student struggles, recommend foundational topics.	Traverse prerequisites edges; check student proficiency; offer review.	Graph traversal + recommendation logic.	KG with REQUIRES edges.	P1	Medium	Yes
Knowledge Graph	Topic Search within KG	UI	Find specific node by name.	Search bar; auto-suggest nodes; click to focus graph.	Frontend filtering of graph data; backend search API.	N/A	P1	Low	Yes
RAG AI Chatbot	Vector Database (Pinecone/Weaviate)	AI	Store embeddings of past papers, mark schemes, notes.	Chunk documents, generate embeddings (OpenAI or local).	Embedding pipeline; vector DB upserts.	LLM embedding model.	P0	Medium	No
RAG AI Chatbot	RAG Query Pipeline	AI	Answer student questions based on authoritative sources.	Retrieve relevant chunks; feed to LLM with prompt.	Hybrid search (vector + keyword); LLM (GPT-4, Claude, or local).	LLM API key.	P0	High	No
RAG AI Chatbot	Chat Interface (Web)	AI	Students interact with tutor.	Chat window with message history, citations, source links.	React component; streaming responses (Server-Sent Events).	Backend chat API.	P0	Medium	Yes
RAG AI Chatbot	Conversation Memory	AI	Maintain context across multiple turns.	Store chat history in DB; inject recent messages into LLM context.	Simple ring buffer per session.	DB table for chat logs.	P1	Low	No
RAG AI Chatbot	Citation Display	AI	Show source (past paper, mark scheme) for each claim.	Return source IDs with answer; frontend shows link to PDF.	Retrieve source metadata from vector DB.	RAG pipeline.	P0	Low	Yes
RAG AI Chatbot	Follow-up Question Suggestions	AI	Help students continue learning.	Generate 3 recommended questions based on current conversation.	LLM prompt or rule-based from KG.	LLM call.	P2	Medium	Yes
RAG AI Chatbot	Multi-modal Input (Image Upload)	AI	Students can upload photos of handwritten work or diagrams.	Use vision LLM (GPT-4V, Claude 3) to process image.	Extend API to accept multipart form; vision model integration.	Vision-capable LLM.	P2	High	Yes
RAG AI Chatbot	Voice Input (Speech-to-Text)	AI	Accessibility; faster input.	Use browser Web Speech API or backend STT (Whisper).	Frontend: SpeechRecognition; backend fallback.	Browser support.	P3	Medium	Yes
Assessment & Practice Tools	Smart Mark (AI Marking)	Assessment	Students need instant, exam-specific feedback on answers.	Compare student answer to mark scheme using LLM; return marks + feedback.	Prompt engineering; score extraction; store attempt.	Mark scheme DB; LLM API.	P0	High	Yes
Assessment & Practice Tools	Handwritten Answer Recognition	Assessment	Students often write on paper; upload photo.	Use OCR + LLM to extract text; then Smart Mark.	Tesseract or cloud OCR; image preprocessing.	OCR service.	P1	High	Yes
Assessment & Practice Tools	Target Test (Personalized Quiz)	Assessment	Students want custom practice on weak topics.	Generate quiz from question bank filtered by KG weak nodes, difficulty, length.	Query builder; select random questions; compile PDF + interactive UI.	Tagged question bank.	P1	Medium	Yes
Assessment & Practice Tools	Test Builder (Teacher Tool)	Assessment	Teachers create custom tests quickly.	UI for teachers to select topics/difficulty; generate print-friendly PDF.	Similar to Target Test but teacher-facing; plus answer key.	Question bank.	P1	Medium	Yes
Assessment & Practice Tools	Mock Exam Generator (Exam Blueprint)	Assessment	Simulate real exam structure (topic weighting, question types).	Analyze past papers to create blueprint (e.g., “Mechanics 35%”); then generate.	Metadata analytics; constraint-based selection algorithm.	Historical paper analysis.	P2	High	Yes
Assessment & Practice Tools	Mock Drop (Time-Limited Event)	Engagement	Create urgency, simulate real exam window.	Offer unseen mock papers for 2 weeks; after deadline, provide predicted grade.	Event table; grade boundaries; email notifications.	Mock generator.	P2	Medium	Yes
Assessment & Practice Tools	Timed Exam Mode	Assessment	Practice time management.	Countdown timer; auto-submit; log time per question.	Frontend timer; backend submission.	N/A	P1	Low	Yes
Assessment & Practice Tools	Spaced Repetition Scheduler	Learning	Students forget flagged questions.	Schedule reviews at optimal intervals (1,3,7,14,30 days).	Background job; store next_review date on attempts.	Attempt logs.	P2	Medium	Partial
Assessment & Practice Tools	Question Attempt Logger	Tracking	Students lose track of what they’ve solved.	Log each attempt: score, time, confidence, flag.	API endpoint; frontend buttons.	PostgreSQL table.	P0	Low	Yes
Assessment & Practice Tools	Problem Flagging & Doubt Tracking	Tracking	Note which questions are difficult, include doubt type.	UI: flag icon, doubt type selector; store in attempt table.	Same as attempt logger.	N/A	P0	Low	Yes
Assessment & Practice Tools	Resolved / Unresolved Status	Tracking	Mark when problem is understood.	“Resolved” button clears flag; adds proficiency bonus.	Update resolved column.	N/A	P1	Low	Yes
Assessment & Practice Tools	Already Solved Indicator	UI	Avoid repeating same question unintentionally.	Display badge “Attempted on [date]” when viewing question.	Check attempt table; small UI component.	Attempt logs.	P1	Low	Yes
Assessment & Practice Tools	Review Hub Dashboard	UI	Central place to see problematic questions, due reviews, weak topics.	Tabbed interface showing lists from attempts and KG.	Aggregated API; frontend cards/filters.	Attempt & KG APIs.	P1	Medium	Yes
Student Dashboard & Learning Tools	Personal Dashboard	UI	Students need overview of progress, recommendations, recent activity.	Cards: KG summary, due reviews, next steps, predicted grade.	Aggregated API; React components.	KG, attempts, recommendations.	P0	Medium	Yes
Student Dashboard & Learning Tools	Progress Visualizations (Charts)	Analytics	See improvement over time, topic mastery.	Line charts (performance trend), bar charts (topic proficiency).	Chart.js / Recharts; data from analytics endpoints.	Historical attempts.	P1	Low	Yes
Student Dashboard & Learning Tools	Study Planner (Calendar)	Planning	Plan revision schedule based on exam date and KG.	AI suggests daily/weekly topics; user can drag events.	React Big Calendar; backend scheduling algorithm.	Exam date input, KG.	P2	Medium	Yes
Student Dashboard & Learning Tools	Predicted Grade Display	Motivation	Know current standing relative to target.	Use proficiency and past performance to estimate grade (A*–U).	Regression model using historical grade boundaries.	Grade boundary data.	P1	Medium	Yes
Student Dashboard & Learning Tools	Streak Counter & Gamification	Engagement	Encourage daily usage.	Track consecutive days with activity; display badge.	Redis counter; frontend component.	N/A	P2	Low	Yes
Student Dashboard & Learning Tools	Badges & Achievements	Gamification	Reward milestones (10 mastered topics, 30-day streak).	Define badge rules; award when triggers met; show in profile.	Badge table; condition evaluator.	N/A	P2	Medium	Yes
Student Dashboard & Learning Tools	Notification Center	UI	Keep students informed about reminders, events.	In-app bell icon with list of notifications; optional email.	Notifications table; background job to create.	N/A	P1	Low	Yes
Student Dashboard & Learning Tools	Study Timer (Pomodoro)	Productivity	Help students focus.	Embedded timer; log study sessions.	Simple component; store session logs.	N/A	P3	Low	Yes
Teacher Hub (B2B)	Class Creation & Management	Teacher	Manage student groups.	CRUD classes; add/remove students by email or CSV upload.	Classes table; API; frontend forms.	RBAC.	P0	Medium	Yes
Teacher Hub (B2B)	Class Roster View	Teacher	See all students in class.	List students; links to individual student dashboards.	Aggregated query.	Class-student mapping.	P0	Low	Yes
Teacher Hub (B2B)	Assignment Creator	Teacher	Assign resources (notes, quizzes, past papers) to class/individual.	Teacher selects resource, due date; students see on dashboard.	Assignment table; notification system.	Resources exist.	P1	Medium	Yes
Teacher Hub (B2B)	Assignment Submissions View	Teacher	Grade and give feedback on student work.	List submissions; inline grading (for subjective questions).	Similar to submission inbox; integration with Smart Mark.	Smart Mark API.	P1	Medium	Yes
Teacher Hub (B2B)	Class Knowledge Graph Heatmap	Analytics	See which topics the whole class struggles with.	Aggregate student KGs; color-coded nodes.	Backend aggregation; frontend same graph component.	Student KG data.	P1	Medium	Yes
Teacher Hub (B2B)	Early Warning System (At-Risk Students)	Analytics	Identify students falling behind.	Compute risk score based on engagement, proficiency drop, unresolved flags.	ML model or rule-based thresholds.	Interaction logs.	P1	Medium	Yes
Teacher Hub (B2B)	Teacher Dashboard (Summary)	UI	Quick overview of classes, recent assignments, flagged students.	Cards: alerts, pending grading, class average.	Aggregated API.	N/A	P0	Low	Yes
Teacher Hub (B2B)	Announcements	Communication	Send messages to class.	Create announcement; students see in-app and optionally email.	Announcement table; email service.	N/A	P1	Low	Yes
Teacher Hub (B2B)	Teacher-only Question Bank	Content	Teachers can add custom questions not visible to students.	Separate flag teacher_only on questions; hidden from student queries.	Database flag; API filtering.	N/A	P2	Low	No
Teacher Hub (B2B)	Gradebook Export (CSV/Excel)	Teacher	Download grades for offline analysis.	Export assignment scores, predicted grades.	Backend CSV generation.	N/A	P1	Low	Yes
Teacher Hub (B2B)	Class Analytics (Engagement, Performance Trends)	Analytics	See class-level improvement over time.	Line charts of average scores; bar charts of question difficulty.	Data aggregation from attempts.	N/A	P1	Medium	Yes
Teacher Hub (B2B)	Teacher AI Assistant (Lesson Planning)	AI	Generate lesson plans, worksheets, model answers.	Teacher asks natural language; AI uses KG+resources.	RAG pipeline with teacher-oriented prompt.	LLM API.	P2	Medium	Yes
Admin Tools	Admin Dashboard	Admin	Monitor platform health, user counts, revenue.	Metrics cards, graphs, recent errors.	Aggregated from logs and DB.	Admin role.	P1	Medium	Yes
Admin Tools	User Management (Admin)	Admin	View, suspend, delete users; assign roles.	Admin table with actions.	CRUD API; frontend table.	Admin role.	P0	Low	Yes
Admin Tools	Content Moderation (Flagged Content)	Admin	Remove inappropriate user-generated content (forum posts).	Review queue; approve/delete.	Moderation table; workflow.	Forum feature.	P2	Medium	Yes
Admin Tools	System Configuration (Feature Flags, Limits)	Admin	Change settings without deployment.	Admin panel to toggle features, set rate limits.	Store config in DB; caching.	N/A	P2	Medium	Yes
Admin Tools	Billing & Subscription Management (Stripe)	Admin	Handle payments for premium plans and school licenses.	Integrate Stripe; manage plans, invoices, webhooks.	Stripe API; subscription table.	Stripe account.	P1	High	Yes
Admin Tools	Analytics Dashboard (Usage, Retention, Revenue)	Admin	Understand business performance.	Charts: DAU, MAU, conversion, churn.	Data warehouse or timescale DB.	Event tracking.	P2	Medium	Yes
Admin Tools	Email Template Management	Admin	Customize notification emails.	Admin editor for email HTML; variables.	Store templates; render with context.	N/A	P3	Low	Yes
Recommendation System	Rule-based Recommendations (MVP)	RecSys	Cold start, no interaction data.	Recommend syllabus order + popular resources among similar students.	Simple association rules: “students who did X did Y”.	Basic interaction logs.	P0	Low	No
Recommendation System	Content-based Filtering	RecSys	Recommend similar resources to what student engaged with.	Use question tags; compute similarity via embedding or topic overlap.	Embedding vectors; nearest neighbor search.	Tagged content, embedding model.	P1	Medium	No
Recommendation System	Collaborative Filtering (Matrix Factorization)	RecSys	Use patterns across users to predict preferences.	Train model (e.g., LightFM) on user-resource interactions.	Python ML library; offline training.	Large interaction dataset.	P2	High	No
Recommendation System	Hybrid Recommendation (Cascade)	RecSys	Combine multiple signals for best results.	Rule-based → content-based → collaborative based on data sparsity.	Branching logic in recommendation service.	All previous models.	P2	High	No
Recommendation System	Exploration (Epsilon-Greedy)	RecSys	Avoid echo chamber, ensure syllabus coverage.	With 10% probability, recommend random untouched topic.	Random sampling from topics with zero attempts.	Attempt logs.	P1	Low	No
Recommendation System	Personalized “Next Steps” (from KG)	RecSys	Tell student exactly what to study next based on weak nodes.	Query KG for weakest node (lowest proficiency) that has prerequisites met.	Graph traversal; proficiency scoring.	KG with proficiency.	P1	Medium	Yes
Recommendation System	Recommendation Explanations	UI	Build trust; show why item was recommended.	Display “Because you struggled with X” or “Because you watched Y”.	Store reasoning alongside recommendation.	N/A	P2	Low	Yes
Data Assistant Tool (DAT) for Teachers	Natural Language Query Interface	DAT	Teachers want insights without SQL.	Input box: “Show me students who struggle with photosynthesis”.	LLM translates to SQL or API calls; return data.	LLM API, well-defined data schema.	P2	High	Yes
Data Assistant Tool (DAT) for Teachers	Common Misconception Detection	DAT	Identify widespread errors in free-text answers.	Cluster student responses using embeddings; flag frequent wrong answers.	Embedding + clustering (DBSCAN); store misconceptions.	Student answer text.	P2	High	Yes
Data Assistant Tool (DAT) for Teachers	Automated Report Generation (PDF/Email)	DAT	Save teacher time preparing progress reports.	Click “Generate Report” → PDF with class summary, weak topics.	Report template (LaTeX/HTML to PDF); backend generation.	N/A	P2	Medium	Yes
Data Assistant Tool (DAT) for Teachers	“Ask about a Student”	DAT	Quick check on individual student.	Teacher asks: “How is Alex doing in calculus?” → returns proficiency, recent attempts.	Student-specific API; LLM summarizes.	N/A	P2	Medium	Yes
Data Assistant Tool (DAT) for Teachers	Gap Analysis (Topic-level)	DAT	Show which topics need more teaching.	Aggregate proficiency across class; highlight topics below threshold.	SQL aggregation; data viz.	KG proficiency.	P1	Low	Yes
Frontend & UI/UX Features	Responsive Design (Mobile/Tablet/Desktop)	UI	Students study everywhere.	Use CSS Grid/Flexbox, media queries; mobile-first design.	Tailwind CSS or Bootstrap.	N/A	P0	Medium	Yes
Frontend & UI/UX Features	Dark Mode / Light Mode	UI	Reduce eye strain; user preference.	Toggle; system preference detection; CSS variables.	React context; localStorage.	N/A	P2	Low	Yes
Frontend & UI/UX Features	Accessibility (WCAG 2.1 AA)	UI	Support students with disabilities.	Keyboard navigation, screen reader labels, color contrast, ARIA attributes.	Manual testing; aXe tool.	N/A	P1	Medium	Yes
Frontend & UI/UX Features	Onboarding Tutorial (Interactive Guide)	UI	New users learn features quickly.	Step-by-step overlay (e.g., Driver.js) on first login.	Library or custom modals.	N/A	P1	Low	Yes
Frontend & UI/UX Features	Keyboard Shortcuts	UI	Power users navigate faster.	Common actions: Ctrl+K for search, ? for help.	Global event listener.	N/A	P3	Low	Yes
Frontend & UI/UX Features	Loading Skeletons	UI	Improve perceived performance.	Show placeholder cards while data loads.	React loading components.	N/A	P1	Low	Yes
Frontend & UI/UX Features	In-App Notifications (Toast)	UI	Provide feedback on actions (submit, save).	Use toast library (react-hot-toast).	N/A	P0	Low	Yes	
Frontend & UI/UX Features	Undo/Redo for Certain Actions	UI	Accidental deletion of flagged question, etc.	Snackbar with “Undo” after destructive action.	Store last action; revert endpoint.	N/A	P2	Medium	Yes
Frontend & UI/UX Features	Search Bar (Global)	UI	Quickly find notes, questions, videos.	Elasticsearch or PostgreSQL full-text search; auto-suggest.	Search index.	N/A	P1	Medium	Yes
Frontend & UI/UX Features	Advanced Filters (Subject, Board, Topic, Difficulty)	UI	Narrow down content.	Multi-select dropdowns; update results dynamically.	Frontend state + API query params.	N/A	P1	Low	Yes
Frontend & UI/UX Features	Customizable Dashboard Widgets	UI	Let students arrange their dashboard.	Drag-and-drop layout (e.g., react-grid-layout); save preference.	LocalStorage or API.	N/A	P3	Medium	Yes
Mobile & Offline Support	Progressive Web App (PWA)	Mobile	Native-like experience without app store.	Service worker; manifest; offline caching.	Workbox; generate with React PWA template.	HTTPS.	P1	Medium	Yes
Mobile & Offline Support	Offline Access to Downloaded Materials	Offline	Students without internet.	Allow downloading notes, past papers, flashcards to cache.	IndexedDB with local storage; sync when online.	N/A	P2	High	Yes
Mobile & Offline Support	Mobile App (React Native / Flutter)	Mobile	Push notifications, better performance.	Build native app wrapper (optional later).	React Native; separate codebase.	N/A	P3	High	Yes
Security & Compliance	HTTPS Everywhere	Security	Encrypt data in transit.	Use TLS certificates (Let’s Encrypt).	Configure load balancer or reverse proxy.	Domain.	P0	Low	No
Security & Compliance	GDPR Compliance	Legal	Handle EU user data.	Cookie consent, data export, deletion, privacy policy.	Legal review; implement GDPR endpoints.	Legal advice.	P0	Medium	Yes
Security & Compliance	Data Encryption at Rest	Security	Protect database contents.	Enable AWS RDS encryption; encrypt backups.	Cloud provider settings.	N/A	P1	Low	No
Security & Compliance	Audit Logs (User Actions)	Security	Track who did what for compliance.	Log user actions (login, content modify, assignment grade).	Middleware to insert into audit table.	Additional storage.	P2	Medium	No
Security & Compliance	CSRF & XSS Protection	Security	Common web attacks.	Use CSRF tokens; sanitize user input; CSP headers.	Framework defaults (Django, React).	N/A	P0	Low	No
Security & Compliance	Rate Limiting per User	Security	Prevent brute force, abuse.	See infrastructure section.	Redis + middleware.	N/A	P1	Low	No
Integration & API Features	RESTful API for All Resources	API	Enable frontend and third-party integrations.	Design consistent REST endpoints; OpenAPI spec.	FastAPI/DRF; auto-generated docs.	N/A	P0	Medium	No
Integration & API Features	OAuth2 / SSO Integration (Google, Microsoft)	Auth	Easy login for schools.	Add OAuth providers.	Use OAuth libraries (Authlib).	Provider credentials.	P1	Medium	Yes
Integration & API Features	LTI 1.3 Integration (for Schools)	Integration	Embed into Canvas, Moodle as external tool.	Implement LTI standard; allow deep linking.	LTI tool provider library.	LTI consumer (school LMS).	P2	High	No
Integration & API Features	Webhooks for Events	API	Allow external services to react (e.g., new assignment).	Register webhook URLs; send POST on events.	Background queue; retry logic.	N/A	P3	Medium	No
Integration & API Features	API Rate Limit Headers	API	Communicate limits to clients.	Include X-RateLimit-* headers in responses.	Middleware.	N/A	P1	Low	No
Additional Features	Forum / Doubt-Sharing Community	Community	Students need peer help.	Topic-based discussion threads; upvote best answers.	Basic forum database schema; moderation tools.	N/A	P2	Medium	Yes
Additional Features	Teacher-Only Question Flag	Teacher	Separate assessment from practice.	Questions marked teacher_only appear only in teacher-assigned tests.	DB flag; API filtering.	N/A	P2	Low	No
Additional Features	White-labeling for Schools	B2B	Schools want custom branding.	Allow school admin to upload logo, set primary color.	Dynamic CSS variables; store school branding.	N/A	P2	Medium	Yes
Additional Features	Bulk User Import (CSV)	Teacher	Add many students at once.	Upload CSV with emails/names; create accounts and enroll.	CSV parser; background job.	N/A	P1	Medium	Yes
Additional Features	Export Student Data (Parent/Student)	Compliance	GDPR right to data portability.	Provide JSON/CSV download of all personal data and attempts.	Aggregated export endpoint.	N/A	P1	Medium	Yes
Additional Features	Automated Email Reports (Weekly Progress)	Engagement	Keep parents/students informed.	Weekly digest: completed papers, weak topics, predicted grade.	Cron job; email service.	N/A	P2	Medium	No
Additional Features	Live Chat Support (for Premium)	Support	Real-time help for platform issues.	Integrate third-party widget (Intercom, Crisp).	Embed script.	Budget for paid plan.	P3	Low	Yes
