class_no,class,query_id,query,gold_spec_points,gold_concepts,gold_misconceptions,evidence_tiers,evidence_refs,provenance,substrate,notes,VERDICT (CORRECT/INCORRECT),corrected_labels,owner_notes
4,prerequisite,g1-048,Do I need to master Covalent bond before I can understand Bond energy calculations?,4CH1-1.44 | 4CH1-1.45 | 4CH1-3.7C,4CH1-CON-BOND-ENERGY-CALC | 4CH1-CON-COVALENT-BOND,,t1×5,de0d5a687a…:13 98c0133538…:8 034516a426…:7 56c67b2c2a…:8 da0b8fe107…:6,rule=R2 · source=edge:REQUIRES_PREREQUISITE:4CH1-CON-BOND-ENERGY-CALC->4CH1-CON-COVALENT-BOND,kg,auto-derived v1,,,
4,prerequisite,g1-049,Do I need to master Anions and cations and their migration to cathode and anode before I can understand Electrolysis?,4CH1-1.57C | 4CH1-1.58C,4CH1-CON-ANODE-CATHODE | 4CH1-CON-ELECTROLYSIS,,t1×5,05952b3ad6…:22 fa60642a0e…:6 9bb3e3d6ff…:9 be35905e00…:6 bd1bc88542…:6,rule=R2 · source=edge:REQUIRES_PREREQUISITE:4CH1-CON-ELECTROLYSIS->4CH1-CON-ANODE-CATHODE,kg,auto-derived v1,,,
4,prerequisite,g1-050,Do I need to master Paper chromatography before I can understand 4CH1-PR-02?,4CH1-1.10,4CH1-CON-CHROMATOGRAPHY,,t1×5,136b500f07…:1 ae36e95e78…:2 ce65d4fd54…:3 465b699921…:2 61abeb4e83…:1,endpoint_non_concept=['4CH1-PR-02'] · rule=R2 · source=edge:REQUIRES_PREREQUISITE:4CH1-PR-02->4CH1-CON-CHROMATOGRAPHY,kg,auto-derived v1,,,
4,prerequisite,g1-051,Do I need to master Covalent bond before I can understand Dot-and-cross diagrams for covalent substances?,4CH1-1.44 | 4CH1-1.45 | 4CH1-1.46,4CH1-CON-COVALENT-BOND | 4CH1-CON-DOT-CROSS-COVALENT,,t1×5,de0d5a687a…:13 034516a426…:7 5f9b96f76a…:6 fc38cf9a0b…:7 df8fd0f8c2…:1,rule=R2 · source=edge:REQUIRES_PREREQUISITE:4CH1-CON-DOT-CROSS-COVALENT->4CH1-CON-COVALENT-BOND,kg,auto-derived v1,,,
4,prerequisite,g1-052,Do I need to master Exothermic and endothermic reactions before I can understand Position of equilibrium?,4CH1-3.1 | 4CH1-3.21C | 4CH1-3.22C,4CH1-CON-EQ-POSITION | 4CH1-CON-EXO-ENDO,,t1×5,c4e2178d93…:8 c928be1d9d…:9 5a98b7f5db…:15 e5285c8628…:11 e5556d9d8c…:14,rule=R2 · source=edge:REQUIRES_PREREQUISITE:4CH1-CON-EQ-POSITION->4CH1-CON-EXO-ENDO,kg,auto-derived v1,,,
5,misconception,g1-053,"Why is 'predicting that a pressure change shifts equilibrium to the side with…' a wrong idea, and what is the correct picture?",4CH1-3.21C | 4CH1-3.22C,4CH1-CON-EQ-POSITION,4CH1-MIS-EQ-PRESSURE-FEWER,t1×5,c4e2178d93…:8 d7c4a09cd6…:15 250fb27db9…:12 cf90825ca8…:8 fa60642a0e…:17,rule=R2 · source=edge:WRONG_ANSWER_PATTERN:4CH1-MIS-EQ-PRESSURE-FEWER->4CH1-CON-EQ-POSITION,kg+chunks,auto-derived v1,,,
5,misconception,g1-054,"Why is 'saying covalent bonds are broken when simple molecular substances mel…' a wrong idea, and what is the correct picture?",4CH1-1.47 | 4CH1-1.48,4CH1-CON-SIMPLE-MOLECULAR,4CH1-MIS-COVALENT-BONDS-BROKEN,t1×5,af3e685fd0…:9 f5b6cd140f…:4 034516a426…:7 7758a51c10…:5 512af760e5…:3,rule=R2 · source=edge:REMEDIATED_BY:4CH1-MIS-COVALENT-BONDS-BROKEN->4CH1-CON-SIMPLE-MOLECULAR,kg+chunks,auto-derived v1,,,
5,misconception,g1-055,"Why is 'explaining a catalyst's effect as particles gaining energy or moving …' a wrong idea, and what is the correct picture?",4CH1-3.12 | 4CH1-3.13,4CH1-CON-CATALYST,4CH1-MIS-CATALYST-PARTICLE-ENERGY,t1×2,7758a51c10…:3 56b6c614ef…:13,rule=R2 · source=edge:WRONG_ANSWER_PATTERN:4CH1-MIS-CATALYST-PARTICLE-ENERGY->4CH1-CON-CATALYST,kg+chunks,auto-derived v1,,,
5,misconception,g1-056,"Why is 'drawing gas particles touching each other or joined by bonds' a wrong idea, and what is the correct picture?",4CH1-1.1 | 4CH1-1.3,4CH1-CON-STATE-PARTICLE-MODEL,4CH1-MIS-GAS-PARTICLES-TOUCH,t1×1,ad168ca9fc…:3,rule=R2 · source=edge:REMEDIATED_BY:4CH1-MIS-GAS-PARTICLES-TOUCH->4CH1-CON-STATE-PARTICLE-MODEL,kg+chunks,auto-derived v1,,,
5,misconception,g1-057,"Why is 'describing ionic bonding as attraction between atoms or molecules' a wrong idea, and what is the correct picture?",4CH1-1.41,4CH1-CON-IONIC-BOND,4CH1-MIS-IONIC-BOND-ATOMS,t1×5,bd1bc88542…:5 ad168ca9fc…:18 034516a426…:7 d4dbfed8a0…:7 95544412b9…:14,rule=R2 · source=edge:REMEDIATED_BY:4CH1-MIS-IONIC-BOND-ATOMS->4CH1-CON-IONIC-BOND,kg+chunks,auto-derived v1,,,
5,misconception,g1-058,"Why is 'failing to convert cm3 to dm3 in concentration calculations' a wrong idea, and what is the correct picture?",4CH1-1.34C,4CH1-CON-VOL-CONVERSION,4CH1-MIS-CONC-UNIT,t1×5,e02c65ad9f…:10 93db3ed101…:10 868a150c1a…:3 103502ffda…:7 d59ce7ec2c…:18,rule=R2 · source=edge:REMEDIATED_BY:4CH1-MIS-CONC-UNIT->4CH1-CON-VOL-CONVERSION,kg+chunks,auto-derived v1,,,
5,misconception,g1-059,"Why is 'believing isotopes of an element differ in their number of protons' a wrong idea, and what is the correct picture?",4CH1-1.16 | 4CH1-1.17,4CH1-CON-ISOTOPES,4CH1-MIS-ISOTOPES-DIFFER-PROTONS,t1×5,20d8089be2…:2 5131935830…:2 e5285c8628…:2 361de44773…:1 79bd80919c…:3,rule=R2 · source=edge:REMEDIATED_BY:4CH1-MIS-ISOTOPES-DIFFER-PROTONS->4CH1-CON-ISOTOPES,kg+chunks,auto-derived v1,,,
5,misconception,g1-060,"Why is 'quoting the molar enthalpy change as the unconverted joule value inst…' a wrong idea, and what is the correct picture?",4CH1-3.4,4CH1-CON-MOLAR-ENTHALPY,4CH1-MIS-ENTHALPY-UNIT-J,t1×4,682b67c880…:9 78d67bd9c0…:9 cbff9c92ef…:10 5a0d064fb5…:12,rule=R2 · source=edge:REMEDIATED_BY:4CH1-MIS-ENTHALPY-UNIT-J->4CH1-CON-MOLAR-ENTHALPY,kg+chunks,auto-derived v1,,,
5,misconception,g1-061,"Why is 'calling the periodic table relative atomic mass the mass number' a wrong idea, and what is the correct picture?",4CH1-1.26 | 4CH1-1.28,4CH1-CON-AR,4CH1-MIS-RAM-MASS-NUMBER,t1×5,5131935830…:2 babfe26bcb…:2 05952b3ad6…:6 90f25c1401…:3 a5eacc1113…:7,rule=R2 · source=edge:REMEDIATED_BY:4CH1-MIS-RAM-MASS-NUMBER->4CH1-CON-AR,kg+chunks,auto-derived v1,,,
5,misconception,g1-062,"Why is 'counting the wrong number or type of bonds in bond-energy calculations' a wrong idea, and what is the correct picture?",4CH1-3.7C,4CH1-CON-BOND-ENERGY-CALC,4CH1-MIS-BOND-ENERGY-COUNT,t1×5,f2afa60dc1…:16 e7ce0faf0e…:8 fa60642a0e…:12 c904de1e03…:8 9a2262007b…:4,rule=R2 · source=edge:REMEDIATED_BY:4CH1-MIS-BOND-ENERGY-COUNT->4CH1-CON-BOND-ENERGY-CALC,kg+chunks,auto-derived v1,,,
6,why_wrong,g1-063,For this exam question: 'Oxides can be made by burning elements in air' — what are the common mistakes students make?,,,,"t2×1, t1×4",f06f808464…:2 20d8089be2…:7 790877f765…:2 e50985bda8…:4 e50985bda8…:10,anchor_code_non_spec=4CH1-S2-g · rule=R1+R3 · source=qversion[4CH0/2C],chunks,auto-derived v1,,,
6,why_wrong,g1-064,For this exam question: 'Magnesium chloride can be made by reacting excess magnesium carbonate with dilute hydrochloric acid' — what are the common mistakes students make?,,,,"t2×1, t1×4",f06f808464…:8 20d8089be2…:7 790877f765…:2 e50985bda8…:4 e50985bda8…:10,anchor_code_non_spec=4CH1-S1-e · rule=R1+R3 · source=qversion[4CH0/2C],chunks,auto-derived v1,,,
6,why_wrong,g1-065,For this exam question: 'This question is about carboxylic acids' — what are the common mistakes students make?,,,,"t2×1, t1×4",13b8cded84…:3 7649654514…:2 9a2262007b…:0 66a8d87f23…:3 cfae503ca6…:10,anchor_code_non_spec=ING-4CH12CJANUARY2021 · rule=R1+R3 · source=qversion[4CH1/2C],chunks,auto-derived v1,,,
6,why_wrong,g1-066,For this exam question: 'This question is about Group 1 metals and their reactions.' — what are the common mistakes students make?,,,,"t2×1, t1×4",960bce5cd1…:6 36455b0823…:11 cda9b6c006…:5 fdfa109ccf…:1 8a8c83c985…:1,anchor_code_non_spec=ING-4CH12CRJANUARY2020 · rule=R1+R3 · source=qversion[4CH1/2CR],chunks,auto-derived v1,,,
6,why_wrong,g1-067,For this exam question: 'Hydrogen is used as a fuel' — what are the common mistakes students make?,,,,"t2×1, t1×4",df8fd0f8c2…:12 0ec62ea717…:15 c377331412…:13 c904de1e03…:6 d4dbfed8a0…:15,anchor_code_non_spec=4CH1-S3-a · rule=R1+R3 · source=qversion[4CH0/1C],chunks,auto-derived v1,,,
6,why_wrong,g1-068,For this exam question: '(a) Two substances are needed to cause iron to rust' — what are the common mistakes students make?,,,,"t2×1, t1×4",868a150c1a…:2 36455b0823…:11 cda9b6c006…:5 fdfa109ccf…:1 8a8c83c985…:1,anchor_code_non_spec=ING-4CH12CRJANUARY2022 · rule=R1+R3 · source=qversion[4CH1/2CR],chunks,auto-derived v1,,,
6,why_wrong,g1-069,For this exam question: 'The mineral nesquehonite is a form of hydrated magnesium carbonate' — what are the common mistakes students make?,,,,"t2×1, t1×4",6a9a10e439…:7 7649654514…:2 9a2262007b…:0 66a8d87f23…:3 cfae503ca6…:10,anchor_code_non_spec=ING-4CH12CSPECIMEN2017 · rule=R1+R3 · source=qversion[4CH1/2C],chunks,auto-derived v1,,,
6,why_wrong,g1-070,For this exam question: 'Crude oil is a complex mixture of organic compounds called hydrocarbons' — what are the common mistakes students make?,,,,t2×2,431606b12a…:6 821c1d9f59…:6,anchor_code_non_spec=ING-SUMMER2016 · rule=R1+R3 · source=qversion[None],chunks,auto-derived v1,,,
6,why_wrong,g1-071,For this exam question: 'The table shows the names of some substances' — what are the common mistakes students make?,,,,"t2×1, t1×4",b8613965b7…:1 20d8089be2…:7 790877f765…:2 e50985bda8…:4 e50985bda8…:10,anchor_code_non_spec=ING-4CH02CJANUARY2016 · rule=R1+R3 · source=qversion[4CH0/2C],chunks,auto-derived v1,,,
6,why_wrong,g1-072,For this exam question: 'A student investigates the temperature rise of water in a copper can placed above a spirit burner containing a flammable liquid' — what are the common mistakes students make?,,,,"t2×1, t1×4",b8613965b7…:9 20d8089be2…:7 790877f765…:2 e50985bda8…:4 e50985bda8…:10,anchor_code_non_spec=ING-4CH02CJANUARY2016 · rule=R1+R3 · source=qversion[4CH0/2C],chunks,auto-derived v1,,,
7,exam_question,g1-074,The diagram shows the industrial equipment used to separate crude oil into fractions.,,,,t2×1,669b7691ec…:3,anchor_code_non_spec=ING-4CH12CSUMMER2021 · rule=R1 · source=qversion[4CH1/2C],chunks,auto-derived v1,,,
7,exam_question,g1-075,A student is provided with a solution of dilute sulfuric acid and a solution of sodium hydroxide. The student does a titration using $ 2 5. 0 \mathrm{c m}^{3} $ of the sodium hydroxide solut…,,,,t2×1,b2db6100bf…:2,anchor_code_non_spec=4CH1-S2-f · rule=R1 · source=qversion[4CH0/2C],chunks,auto-derived v1,,,
8,mark_scheme,g1-086,"What does the mark scheme accept for the 4CH1/2CR question: 'Substances can be classified as elements, mixtures or compounds.'?",,,,t1×5,36455b0823…:11 cda9b6c006…:5 fdfa109ccf…:1 8a8c83c985…:1 cda9b6c006…:3,anchor_code_non_spec=ING-4CH12CRJANUARY2020 · rule=R3 · source=qversion[4CH1/2CR],chunks,auto-derived v1; selector=paper-linked (command_word unpopulated),,,
8,mark_scheme,g1-089,What does the mark scheme accept for the 4CH1/2C question: 'The diagram shows an atom of an element.'?,,,,t1×5,7649654514…:2 9a2262007b…:0 66a8d87f23…:3 cfae503ca6…:10 0588a3f201…:4,anchor_code_non_spec=ING-4CH12CJANUARY2021 · rule=R3 · source=qversion[4CH1/2C],chunks,auto-derived v1; selector=paper-linked (command_word unpopulated),,,
9,revision_note,g1-091,Give me quick revision notes covering know the general rules for predicting the solubility of ion….,4CH1-2.34,,,none,,rule=none-substrate-absent · source=spec_point:4CH1-2.34,notes_mirror,substrate notes_mirror; per-class N/A at t0,,,
9,revision_note,g1-093,"Give me quick revision notes covering know that condensation polymerisation, in which a dicarboxy….",4CH1-4.48C,,,none,,rule=none-substrate-absent · source=spec_point:4CH1-4.48C,notes_mirror,substrate notes_mirror; per-class N/A at t0,,,
10,vague_learner,g1-101,I don't get understand how the formulae of simple compou… at all — help me understand it.,4CH1-1.31,,,t1×2,4fc51e5c4a…:7 34dd2dabcf…:8,rule=R2 · source=spec_point:4CH1-1.31,chunks+kg,auto-derived v1,,,
10,vague_learner,g1-104,can someone break down understand how to deduce the structure of a … for me please,4CH1-4.46,,,t1×5,ede4cbebcd…:4 61abeb4e83…:3 6a9a10e439…:10 e094de544a…:12 f6ca23616e…:15,rule=R2 · source=spec_point:4CH1-4.46,chunks+kg,auto-derived v1,,,
11,multi_spec_point,g1-109,"How do understand how to carry out calculations involving amount o… and describe the use of litmus, phenolphthalein and methyl oran… connect in this topic?",4CH1-1.34C | 4CH1-2.28,,,t1×5,5a0d064fb5…:5 f20fe163e6…:8 f326b266dd…:7 af3e685fd0…:10 5f9b96f76a…:8,rule=R2 · source=spec_points:4CH1-1.34C+4CH1-2.28,chunks+kg,auto-derived v1,,,
11,multi_spec_point,g1-113,How do know that vinegar is an aqueous solution containing ethanoi… and explain why substances with a simple molecular structures a… connect in this topic?,4CH1-1.47 | 4CH1-4.37C,,,t1×5,0ec62ea717…:13 df8fd0f8c2…:1 66a8d87f23…:6 4c856f38b3…:9 e094de544a…:12,rule=R2 · source=spec_points:4CH1-4.37C+4CH1-1.47,chunks+kg,auto-derived v1,,,
12,diagram_dependent,g1-116,Draw / label the diagram required for: The diagram shows an atom of an element,,,,none,,anchor_code_non_spec=ING-4CH12CJANUARY2021 · rule=none-substrate-absent · source=qversion[4CH1/2C] selector=draw-cue-stem,figures,substrate figures; per-class N/A at t0,,,
